cell_id,condition,opponent,seed,provider,cooperation_rate,action_volatility,half_life,curvature_beta2,cross_lag_peak,coop_recovery_delay,cost_usd,status
No-H_Grim_s8192_openai,No-H,Grim,8192,openai,0.94,5,,-0.45060282828017745,0,,0.022830599999999993,ok
No-H_Random_s7_deepseek,No-H,Random,7,deepseek,0.76,13,,-4.099051291124051,0,9,0.008961959999999998,degraded
No-H_Grim_s4096_openai,No-H,Grim,4096,openai,0.38,19,,-2.270053674315434,0,8,0.0389706,ok
No-H_Random_s99_anthropic,No-H,Random,99,anthropic,0.66,28,,-6.366561205088821,0,3,0.10012899999999998,ok
No-H_Random_s17_deepseek,No-H,Random,17,deepseek,0.78,18,,-5.79813517711282,0,,0.009111480000000003,degraded
No-H_Random_s123_anthropic,No-H,Random,123,anthropic,0.74,20,,6.906133045929873,0,6,0.096944,degraded
No-H_Random_s256_anthropic,No-H,Random,256,anthropic,0.94,6,,-0.18305223380062435,0,10,0.07472400000000001,ok
No-H_Random_s17_openai,No-H,Random,17,openai,0.72,19,,1.0199373837152228,0,,0.0330178,ok
No-H_Random_s99_deepseek,No-H,Random,99,deepseek,0.76,13,,0.9741087663778829,0,5,0.00906528,degraded
No-H_Random_s123_deepseek,No-H,Random,123,deepseek,0.74,15,,8.450390015773637,0,4,0.0088732,ok
No-H_Random_s99_openai,No-H,Random,99,openai,0.46,19,,0.9412807421304393,0,,0.03799219999999998,ok
No-H_Random_s511_anthropic,No-H,Random,511,anthropic,0.86,9,,1.7934500451290372,0,5,0.082819,ok
No-H_Random_s123_openai,No-H,Random,123,openai,0.66,22,,-8.194650439028262,0,12,0.036400600000000005,ok
No-H_Random_s7_openai,No-H,Random,7,openai,0.68,20,,-0.7883162984005763,0,13,0.036245799999999995,ok
No-H_Random_s256_openai,No-H,Random,256,openai,0.74,14,,-1.9920143324392545,0,10,0.0356442,ok
No-H_Random_s1024_anthropic,No-H,Random,1024,anthropic,0.78,10,,-0.09762803121367014,0,,0.085909,ok
No-H_Random_s256_deepseek,No-H,Random,256,deepseek,0.86,13,,0.01974636789400564,0,6,0.009132760000000002,ok
No-H_Random_s2048_anthropic,No-H,Random,2048,anthropic,0.74,22,,1.818660966591985,0,,0.089524,ok
No-H_Random_s511_deepseek,No-H,Random,511,deepseek,0.7,17,,-1.6797723925239272,0,,0.009087680000000002,ok
No-H_Random_s511_openai,No-H,Random,511,openai,0.56,20,,-3.0398257298079474,0,6,0.03754140000000001,ok
No-H_Random_s4096_anthropic,No-H,Random,4096,anthropic,0.82,12,,-2.4532094602019074,0,11,0.091214,ok
No-H_Random_s1024_deepseek,No-H,Random,1024,deepseek,0.82,11,,-1.282480875195024,0,,0.008877400000000004,ok
No-H_Random_s1024_openai,No-H,Random,1024,openai,0.78,13,,4.184427789099172,0,,0.0315598,ok
No-H_Random_s2048_deepseek,No-H,Random,2048,deepseek,0.82,12,,0.26620708239130314,0,,0.008723960000000001,ok
No-H_Random_s8192_anthropic,No-H,Random,8192,anthropic,0.9,6,,-0.14465751535164925,0,,0.07553899999999998,ok
No-H_GTFT_s7_anthropic,No-H,GTFT,7,anthropic,0.92,8,,1.907755271014858,0,,0.07102400000000005,ok
